kid	pa	ma	pair
280	T058513_2009	T027505_2006	T027538_2006	T027505_2006--T027538_2006
281	T058517_2009	T028554_2006	T028587_2006	T028554_2006--T028587_2006
282	T058518_2009	T028171_2006	T027641_2006	T028171_2006--T027641_2006
283	T058519_2009	T029792_2007	T029896_2007	T029792_2007--T029896_2007
284	T058520_2009	T027622_2006	T027661_2006	T027622_2006--T027661_2006
285	T058527_2009	T028455_2006	T028494_2006	T028455_2006--T028494_2006
286	T058528_2009	T028269_2006	T028282_2006	T028269_2006--T028282_2006
287	T058529_2009	T028645_2006	T028713_2006	T028645_2006--T028713_2006
288	T058531_2009	T028536_2006	T028574_2006	T028536_2006--T028574_2006
289	T058535_2009	T028706_2006	T028720_2006	T028706_2006--T028720_2006
290	T058546_2009	T028193_2006	T028182_2006	T028193_2006--T028182_2006
291	T058547_2009	T028336_2006	T028362_2006	T028336_2006--T028362_2006
292	T058550_2009	T029086_2006	T029022_2006	T029086_2006--T029022_2006
293	T058551_2009	T028638_2006	T028717_2006	T028638_2006--T028717_2006
294	T058553_2009	T028164_2006	T027630_2006	T028164_2006--T027630_2006
295	T058556_2009	T028454_2006	T028502_2006	T028454_2006--T028502_2006
296	T058557_2009	T028339_2006	T028380_2006	T028339_2006--T028380_2006
297	T058558_2009	T028730_2006	T028682_2006	T028730_2006--T028682_2006
298	T058560_2009	T028910_2006	T028916_2006	T028910_2006--T028916_2006
299	T058962_2009	T028264_2006	T028284_2006	T028264_2006--T028284_2006
300	T058963_2009	T029654_2007	T029855_2007	T029654_2007--T029855_2007
301	T058965_2009	T028725_2006	T028759_2006	T028725_2006--T028759_2006
302	T058970_2009	T029066_2006	T029045_2006	T029066_2006--T029045_2006
303	T058971_2009	T029465_2007	T029936_2007	T029465_2007--T029936_2007
304	T058972_2009	T030617_2007	T030634_2007	T030617_2007--T030634_2007
305	T058973_2009	T030406_2007	T030345_2007	T030406_2007--T030345_2007
306	T058974_2009	T028990_2006	T029021_2006	T028990_2006--T029021_2006
307	T058566_2009	T028301_2006	T028225_2006	T028301_2006--T028225_2006
308	T058568_2009	T028402_2006	T028434_2006	T028402_2006--T028434_2006
309	T058569_2009	T027609_2006	T027647_2006	T027609_2006--T027647_2006
310	T058570_2009	T030446_2007	T030044_2007	T030446_2007--T030044_2007
311	T058571_2009	T028739_2006	T028680_2006	T028739_2006--T028680_2006
312	T058572_2009	T028644_2006	T028642_2006	T028644_2006--T028642_2006
313	T058573_2009	T028622_2006	T028598_2006	T028622_2006--T028598_2006
314	T058574_2009	T027617_2006	T027650_2006	T027617_2006--T027650_2006
315	T058575_2009	T028465_2006	T028419_2006	T028465_2006--T028419_2006
316	T058576_2009	T028451_2006	T028495_2006	T028451_2006--T028495_2006
317	T058578_2009	T028338_2006	T028363_2006	T028338_2006--T028363_2006
318	T058582_2009	T029076_2006	T029060_2006	T029076_2006--T029060_2006
319	T058583_2009	T028542_2006	T028572_2006	T028542_2006--T028572_2006
320	T058585_2009	T028444_2006	T028493_2006	T028444_2006--T028493_2006
321	T058586_2009	T028450_2006	T028497_2006	T028450_2006--T028497_2006
322	T058588_2009	T028907_2006	T028930_2006	T028907_2006--T028930_2006
323	T059359_2009	T028913_2006	T028914_2006	T028913_2006--T028914_2006
324	T059360_2009	T028725_2006	T028759_2006	T028725_2006--T028759_2006
325	T059361_2009	T028551_2006	T028582_2006	T028551_2006--T028582_2006
326	T059364_2009	T027601_2006	T027642_2006	T027601_2006--T027642_2006
327	T059366_2009	T028159_2006	T027634_2006	T028159_2006--T027634_2006
328	T059368_2009	T028987_2006	T028979_2006	T028987_2006--T028979_2006
329	T059371_2009	T028444_2006	T028493_2006	T028444_2006--T028493_2006
330	T059373_2009	T028515_2006	T028468_2006	T028515_2006--T028468_2006
331	T059374_2009	T028732_2006	T028767_2006	T028732_2006--T028767_2006
332	T059377_2009	T028451_2006	T028495_2006	T028451_2006--T028495_2006
333	T059378_2009	T028946_2006	T028938_2006	T028946_2006--T028938_2006
334	T059380_2009	T030281_2007	T030339_2007	T030281_2007--T030339_2007
335	T059381_2009	T030455_2007	T030134_2007	T030455_2007--T030134_2007
336	T059382_2009	T028444_2006	T028493_2006	T028444_2006--T028493_2006
337	T059383_2009	T028913_2006	T028914_2006	T028913_2006--T028914_2006
338	T059384_2009	T028676_2006	T028597_2006	T028676_2006--T028597_2006
339	T059385_2009	T028629_2006	T028614_2006	T028629_2006--T028614_2006
340	T059389_2009	T028356_2006	T028277_2006	T028356_2006--T028277_2006
341	T059393_2009	T028676_2006	T028597_2006	T028676_2006--T028597_2006
342	T059395_2009	T028238_2006	T028245_2006	T028238_2006--T028245_2006
343	T059396_2009	T028352_2006	T028364_2006	T028352_2006--T028364_2006
344	T059397_2009	T028954_2006	T028977_2006	T028954_2006--T028977_2006
345	T059398_2009	T027617_2006	T027650_2006	T027617_2006--T027650_2006
346	T059399_2009	T028529_2006	T028481_2006	T028529_2006--T028481_2006
347	T059400_2009	T028900_2006	T028933_2006	T028900_2006--T028933_2006
348	T059402_2009	T028437_2006	T028488_2006	T028437_2006--T028488_2006
349	T059406_2009	T029452_2007	T029798_2007	T029452_2007--T029798_2007
350	T059408_2009	T029957_2007	T029975_2007	T029957_2007--T029975_2007
351	T059409_2009	T028864_2006	T028884_2006	T028864_2006--T028884_2006
352	T059410_2009	T028301_2006	T028225_2006	T028301_2006--T028225_2006
353	T059411_2009	T028521_2006	T028471_2006	T028521_2006--T028471_2006
354	T059414_2009	T030442_2007	T030036_2007	T030442_2007--T030036_2007
355	T059452_2009	T028526_2006	T028474_2006	T028526_2006--T028474_2006
356	T059457_2009	T029662_2007	T029832_2007	T029662_2007--T029832_2007
357	T059458_2009	T027609_2006	T027647_2006	T027609_2006--T027647_2006
358	T059459_2009	T028343_2006	T028377_2006	T028343_2006--T028377_2006
359	T059461_2009	T027570_2006	T027543_2006	T027570_2006--T027543_2006
360	T059463_2009	T028548_2006	T028576_2006	T028548_2006--T028576_2006
361	T059465_2009	T028515_2006	T028468_2006	T028515_2006--T028468_2006
362	T059467_2009	T028466_2006	T028504_2006	T028466_2006--T028504_2006
363	T059470_2009	T028772_2006	T028769_2006	T028772_2006--T028769_2006
364	T059472_2009	T028549_2006	T028570_2006	T028549_2006--T028570_2006
365	T059473_2009	T028945_2006	T028963_2006	T028945_2006--T028963_2006
366	T059474_2009	T029706_2007	T029766_2007	T029706_2007--T029766_2007
367	T059476_2009	T028526_2006	T028474_2006	T028526_2006--T028474_2006
